,id,street_name,limits,total_count,date
13665,WORLDTRADEDR004117,WORLD TRADE DR,HIGHLAND RH RD - CONFERENCE WY,9537,2017-02-15
13038,VIACAMPOCAMPO001617,VIA CAMPO CAMPO,W BERNARDO DR - VIA ESPRILLO DR,6623,2017-02-15
11616,SCRIPPSLAKEDR005017,SCRIPPS LAKE DR,FALCON RIM PT - MIRA LAGO TR,2384,2017-02-15
1844,AVENIDAVENUSTOVENUSTO001817,AVENIDA VENUSTO VENUSTO,PASEO LUCIDO CT - ALTA CARMEL CT,3853,2017-02-15
9744,OLDMILKYWY000417,OLD MILKY WY,SAN PASQUAL RD - SD 078 RD,5706,2017-02-15
13660,WORLDTRADEDR004217,WORLD TRADE DR,CONFERENCE WY - CAMINO NORTE WY,7300,2017-02-15
10778,RANCHOBERNARDORD000617,RANCHO BERNARDO RD,W BERNARDO DR - SD 015 DR,45527,2017-02-15
3343,CARMELMOUNTAINRD000217,CARMEL MOUNTAIN RD,CARMEL CRK RD - VIA MAR BALLENAS RD,16074,2017-02-28
13669,WORLDTRADEDR004317,WORLD TRADE DR,STONEY PEAK DR - HIGHLAND RH RD,7890,2017-02-28
2374,BLACKMTNRD002517,BLACK MTN RD,CARMEL MTN RD - DEFREITAS AV,16679,2017-02-28
11269,SABRESPRINGSPY003917,SABRE SPRINGS PY,CREEKBRIDGE PL - POWAY RD,5344,2017-02-28
4640,DUENDARD000917,DUENDA RD,CORAZON PL - LUZ PL,4256,2017-02-28
10812,RANCHOPENASQUITOSBL002417,RANCHO PENASQUITOS BL,VIA SUD  - CAL ROSAS ,26213,2017-02-28
3389,CARMELMOUNTAINRD002617,CARMEL MOUNTAIN RD,SUNDEVIL WY - PASEO MONTALBAN WY,24179,2017-02-28
10307,PASEOLUCIDOLUCIDO000517,PASEO LUCIDO LUCIDO,BERNARDO HEIGHTS PY - CALLE SABIO PY,15623,2017-02-28
3383,CARMELMOUNTAINRD002917,CARMEL MOUNTAIN RD,SPARREN AV - TWIN TRAILS DR,9556,2017-02-28
10784,RANCHOCARMELDR003817,RANCHO CARMEL DR,WINDCREST LN - CARMEL MTN RD (W),14058,2017-02-28
12591,TWINTRAILSDR002317,TWIN TRAILS DR,CARMEL MTN RD - STIMSON CT RD,8117,2017-02-28
2183,BERNARDOCTRDR001217,BERNARDO CTR DR,CAM NORTE DR - MATURIN DR,19730,2017-02-28
12055,SPRINGCYNRD004417,SPRING CYN RD,SUNSET RIDGE DR - BLUE CYPRESS DR,13509,2017-02-28
2233,BERNARDOHTSPY001317,BERNARDO HTS PY,CALLE NOBLEZA  - PASEO LUCIDO ,17055,2017-02-28
3360,CARMELMOUNTAINRD002717,CARMEL MOUNTAIN RD,PASEO MONTALBAN  - CAMINITO BOLSA ,23422,2017-02-28
6439,HIGHLANDRHRD004017,HIGHLAND RH RD,WORLD TRADE DR - CARMEL MTN RD,11479,2017-02-28
3393,CARMELMOUNTAINRD002817,CARMEL MOUNTAIN RD,TWIN TRAILS DR - SUNDANCE AV,7762,2017-02-28
11952,SPARRENAV002117,SPARREN AV,CARMEL MTN RD - ELLINGHAM ST,4552,2017-02-28
1875,AZUAGAST003217,AZUAGA ST,RANCHO PENASQUITOS BL - CAMINITO CIERA BL,2822,2017-02-28
11655,SCRIPPSRANCHBL004917,SCRIPPS RANCH BL,HIBERT ST - MIRA MESA BL,20120,2017-03-01
12068,SPRINGBROOKDR003517,SPRINGBROOK DR,SABRE SPRINGS PY - POWAY RD,3591,2017-03-01
10638,POWAYRD003617,POWAY RD,SABRE SPRINGS PY - CREEKVIEW DR,36252,2017-03-01
4700,EASTBOURNERD003117,EASTBOURNE RD,HIGHLAND RH RD - WAVERLY DOWNS WY,5213,2017-03-01
12315,TEDWILLIAMSPY003717,TED WILLIAMS PY,SABRE SPRINGS PY - SHOAL CREEK DR,31407,2017-03-01
10937,REODR013817,REO DR,ROANOKE ST - RANCHO HILLS DR,10646,2017-03-07
10279,PARKSIDEAV014117,PARKSIDE AV,LANDSCAPE DR - RHOADES RD,3679,2017-03-07
12889,UPASST006917,UPAS ST,GRANADA AV - 29 ST,10053,2017-03-07
8240,MEADEAV007817,MEADE AV,MISSISSIPPI ST - LOUISIANA ST,3423,2017-03-07
12881,UPASST007017,UPAS ST,31 ST - HERMAN AV,5779,2017-03-07
10929,REODR013617,REO DR,POTOMAC ST - ALBEMARLE ST,6954,2017-03-07
11057,ROBINSONAV013417,ROBINSON AV,VERMONT ST - RICHMOND ST,10126,2017-03-07
12920,UTAHST015017,UTAH ST,HOWARD AV - EL CAJON BL,2975,2017-03-07
5459,FLORIDAST006617,FLORIDA ST,ROBINSON AV - UNIVERSITY AV,8029,2017-03-07
794,30ST006217,30 ST,THORN ST - UPAS ST,8849,2017-03-07
299,05AV008017,05 AV,ROBINSON AV - UNIVERSITY AV,11257,2017-03-08
4947,ELPRADO008917,EL PRADO ,BALBOA DR - EL PRADO BRIDGE DR,4192,2017-03-08
10923,REODR013717,REO DR,MARMIL WY - SD 054 WY,20911,2017-03-15
6802,INDIAST013017,INDIA ST,VINE ST - GLENWOOD DR,24058,2017-03-15
7448,LAMEDIARD014817,LA MEDIA RD,AIRWAY RD - AVENIDA FUENTE RD,3246,2017-03-15
77,01AV006317,01 AV,UNIVERSITY AV - WASHINGTON ST,5547,2017-03-15
6596,HOWARDAV007617,HOWARD AV,MISSISSIPPI ST - LOUISIANA ST,4160,2017-03-15
12974,VALLEYRD013917,VALLEY RD,CALLE ABAJO DR - REO DR,7685,2017-03-15
13619,WOODMANST014717,WOODMAN ST,BENSON AV - MADRONE AV,7198,2017-03-15
12415,TONAWANDADR014017,TONAWANDA DR,VALLEY RD - MARMIL WY,13612,2017-03-15
7187,KETTNERBL010317,KETTNER BL,GRAPE ST - HAWTHORN ST,3157,2017-03-16
7175,KETTNERBL010217,KETTNER BL,CEDAR ST - DATE ST,3222,2017-03-16
7200,KETTNERBL010417,KETTNER BL,JUNIPER ST - KALMIA ST,5433,2017-03-16
7602,LAURELST012717,LAUREL ST,PACIFIC HY - KETTNER BL,27410,2017-03-16
10318,PASEOMONTALBANMONTALBAN003017,PASEO MONTALBAN MONTALBAN,TWIN TRAILS DR - SALMON RIVER RD,9086,2017-03-28
3216,CARDENODR022717,CARDENO DR,FOOTHILL BL - LA JOLLA SCENIC DR,4242,2017-04-19
3420,CARMELVALLEYRD023417,CARMEL VALLEY RD,CAMINO SUR RD - BLACK MTN RD,23283,2017-04-25
13661,WORLDTRADEDR022817,WORLD TRADE DR,HIGHLAND RH RD - CAM DEL NORTE RD,10214,2017-04-25
3406,CARMELPARKDR023517,CARMEL PARK  DR,CARMEL BROOKS WY - CARMEL SPRINGS WY,865,2017-04-25
2925,CAMINODELNORTE023317,CAMINO DEL NORTE ,SD 015  -  PASEO MONTANOSO ,45686,2017-04-25
2920,CAMINODELNORTE023217,CAMINO DEL NORTE ,PASEO LUCIDO  - SD 015 ,49878,2017-04-26
5926,GILMANDR023117,GILMAN DR,VIA ALICANTE DR - VILLA LA JOLLA DR,17716,2017-04-27
13672,WORSCHDR023617,WORSCH DR,WORSCH WY - PORTILLA  PL,1431,2017-04-27
10089,PALMAV024017,PALM AV,THERMAL AV - 18 ST,47325,2017-05-03
563,16ST023817,16 ST,PALM  AV - RENT-A-CENTER DY AV,4848,2017-05-03
11539,SATURNBL024217,SATURN BL,DONAX AV - PALM AV,20890,2017-05-03
11812,SKYLINEDR022917,SKYLINE DR,DEEROCK PL - MEADOWBROOK  DR,7912,2017-05-03
13585,WINNETTST023017,WINNETT ST,FEDERAL BL - TOOLEY ST,2713,2017-05-03
10063,PALMAV023717,PALM AV,GEORGIA ST - 16 ST,44348,2017-05-03
562,16ST023917,16 ST,PALM  AV - MOBILE HOME PARK ENT AV,901,2017-05-03
10085,PALMAV024117,PALM AV,SD 005 SB BL - SATURN BL,73584,2017-05-03
11544,SATURNBL024317,SATURN BL,PALM  AV - SOUTHLAND PLAZA DY AV,37102,2017-05-03
13298,WMORENABL024917,W MORENA BL,VEGA ST - MORENA BL ST,12613,2017-05-04
9020,MORENABL024817,MORENA BL,MILTON ST - ASHTON ST,17945,2017-05-04
4776,ELCAJONBL024417,EL CAJON BL,50 ST - ALLEY E/O 50 ST ST,21585,2017-05-11
4800,ELCAJONBL024617,EL CAJON BL,ALTADENA AV - ALLEY E/O ALTADENA AV,22198,2017-05-11
1599,ALTADENAAV024517,ALTADENA  AV,EL CAJON BL - ALLEY N/O EL CAJON BL,1580,2017-05-11
1793,ATLADENAAV024717,ATLADENA AV,EL CAJON BL - TROJAN AV,771,2017-05-11
13673,WYNDHAVENDR025017,WYNDHAVEN DR,QUARTER MILE DR - HALF MILE  DR,543,2017-05-25
545,16ST025917,16 ST,F ST - E ST,8005,2017-07-26
12861,UNIVERSITYAV025417,UNIVERSITY AV,WABASH AV - LINCOLN AV,13513,2017-07-26
13344,WABASHAV025317,WABASH AV,UNIVERSITY AV - LINCOLN AV,2859,2017-07-26
10198,PARKBL026117,PARK BL,ROBINSON AV - PENNSYLVANIA AV,14274,2017-07-27
11049,ROBINSONAV026217,ROBINSON AV,PARK BL - CENTRE  ST,7526,2017-07-27
11635,SCRIPPSPOWAYPY026617,SCRIPPS POWAY PY,SCRIPPS HIGHLANDS DR - SCRIPPS SUMMIT DR,50731,2017-07-27
7039,KEARNYMESARD025717,KEARNY MESA RD,CLAIREMONT MESA BL - RONSON RD,7103,2017-07-27
7037,KEARNYMESARD025617,KEARNY MESA RD,CLAIREMONT MESA BL - MAGNATRON BL,3156,2017-07-27
4369,DAIRYMARTRD025217,DAIRY MART RD,SAN YSIDRO BL - VISTA LN,9789,2017-07-27
13343,WABASHAV025517,WABASH AV,UNIVERSITY AV - I-805 NB OFF RAMP AV,21795,2017-07-27
4665,ECAMPUSDR026017,E CAMPUS DR,MONTEZUMA RD - ZURA WY,2468,2017-07-27
8896,MONTEZUMARD025117,MONTEZUMA RD,COLLWOOD BL - YERBA SANTA DR,23761,2017-07-27
11050,ROBINSONAV026317,ROBINSON AV,PARK BL - CRESTWOOD PL,4819,2017-07-27
11611,SCRIPPSHIGHLANDSDR026417,SCRIPPS HIGHLANDS DR,SCRIPPS POWAY PY - CUL-DE-SAC PY,11536,2017-07-27
576,17ST025817,17 ST,MARKET ST - G ST,3702,2017-07-27
11612,SCRIPPSHIGHLANDSDR026517,SCRIPPS HIGHLANDS DR,SCRIPPS POWAY PY - SCRIPPS GATEWAY CT,4779,2017-08-01
11631,SCRIPPSPOWAYPY026717,SCRIPPS POWAY PY,SCRIPPS HIGHLANDS DR - CARA WY,59976,2017-08-01
13195,VOLTAIREST026817,VOLTAIRE ST,CATALINA BL - EBERS ST,7405,2017-08-22
5884,GENESEEAV026917,GENESEE AV,OSLER ST - MARLESTA DR,19047,2017-08-22
9944,PACIFICHTSBL027017,PACIFIC HTS BL,CORNERSTONE CT - MIRA MESA BL,7646,2017-09-12
13529,WESTVIEWPY027317,WESTVIEW PY,CAPRICORN WY - COMPASS POINT S DR,7494,2017-09-12
9945,PACIFICHTSBL027017,PACIFIC HTS BL,MIRA MESA BL - CARROLL CYN RD,7646,2017-09-12
13528,WESTVIEWPY027317,WESTVIEW PY,CAPRICORN WY - COMPASS POINT S DR,7494,2017-09-12
5956,GOLDCOASTDR028817,GOLD COAST DR,ARROW ROCK AV - SAN RAMON DR,7139,2017-09-13
10263,PARKDALEAV031617,PARKDALE AV,CALICO ST - DANCY RD,5322,2017-09-13
6159,GREENFORDDR029617,GREENFORD DR,CORD LN - STANWELL ST,4538,2017-09-13
5408,FLANDERSDR028517,FLANDERS DR,AHERN CT - CAMINO RUIZ CT,5590,2017-09-13
5783,GEMINIAV031417,GEMINI AV,JEFFREY CT - JANICE CT,9181,2017-09-13
8431,MIRAMESABL028317,MIRA MESA BL,CAPRICORN WY - WESTVIEW PY,57844,2017-09-13
13492,WESTONHILLDR031217,WESTONHILL DR,AQUARIUS DR - CETUS RD,2547,2017-09-13
13534,WESTVIEWPY027417,WESTVIEW PY,GALVIN AV - CAPRICORN WY,19697,2017-09-13
13514,WESTONHILLDR031317,WESTONHILL DR,HARLINGTON DR - WESTMORE RD,8677,2017-09-13
2425,BLACKMTNRD029117,BLACK MTN RD,MIRA MESA BL - GEMINI AV,29290,2017-09-13
8497,MIRAMESABL028417,MIRA MESA BL,WESTVIEW PY - SR 015 R-A PY,79768,2017-09-14
3610,CEDARST032017,CEDAR ST,02 AV - 03 AV,3648,2017-09-19
10648,POWAYRD031717,POWAY RD,SD 015 PY - SABRE SPRINGS PY,44317,2017-09-19
13166,VISTASORRENTOPY031817,VISTA SORRENTO PY,LUSK BL - SORRENTO VALLEY BL,17569,2017-09-19
842,32ST031917,32 ST,MONROE AV - MADISON AV,4698,2017-09-19
9517,NEWSALEMST027117,NEW SALEM ST,NEW SALEM CT - MONTONGO ST,5281,2017-09-26
2768,CALLANRD028717,CALLAN RD,NORTH TORREY PINES RD - TORREYANA RD,3240,2017-09-26
10835,REAGANRD027717,REAGAN RD,ALAVA CR - MIRA MESA BL,8703,2017-09-26
13052,VIADELAVALLEVALLE027917,VIA DE LA VALLE VALLE,FLOWER HILL ML - SAN ANDRES  DR,26404,2017-09-26
8539,MIRAMARPL027217,MIRAMAR PL,MIRAMAR RD - MARINDUSTRY DR,4285,2017-09-26
11935,SORRENTOVYRD027617,SORRENTO VY RD,ARBUTUS ST - SORRENTO VALLEY BL,14059,2017-09-26
11559,SCIENCEPARKRD028917,SCIENCE PARK RD,N TORREY PINES RD - TORREYANA RD,4450,2017-09-26
3065,CAMINORUIZ028217,CAMINO RUIZ ,CAPRICORN WY - ZAPATA AV,16756,2017-09-26
9949,PACIFICHTSBL030017,PACIFIC HTS BL,MIRA MESA BL - PACIFIC MESA BL,17212,2017-09-26
6421,HIGHBLUFFRD027817,HIGH BLUFF RD,DEL MAR HTS RD - SEAHORN CR,6755,2017-09-26
12969,VALLEYCENTREDR027517,VALLEY CENTRE DR,EL CAMINO REAL RD - CARMEL VISTA RD,8647,2017-09-26
8456,MIRAMESABL029817,MIRA MESA BL,MONTONGO ST - REAGAN RD,48274,2017-09-26
10251,PARKVILLAGERD028617,PARK VILLAGE RD,LICIA WY - CAMINO DEL SUR WY,3633,2017-09-26
3106,CAMINOSANTAFE029717,CAMINO SANTA FE ,FLANDERS DR - MIRA MESA BL,18114,2017-09-26
9347,NANCYRIDGEDR030317,NANCY RIDGE DR,CARROLL CYN RD - CARROLL RD,3047,2017-09-26
2369,BLACKMTNRD029017,BLACK MTN RD,CAPRICORN WY - ROCKFIELD WY,24321,2017-09-27
13479,WESTMORERD028117,WESTMORE RD,DEERING ST - WORTHING AV,4445,2017-09-27
10247,PARKVILLAGERD029417,PARK VILLAGE RD,CAMINO DEL SUR RD - DARKWOOD RD,7590,2017-09-27
8489,MIRAMESABL031117,MIRA MESA BL,VIPER WY - CAMINO SANTA FE WY,43173,2017-09-27
3076,CAMINORUIZ029217,CAMINO RUIZ ,MIRALANI DR - JADE COAST DR,26126,2017-09-27
3083,CAMINORUIZ029317,CAMINO RUIZ ,NEW SALEM ST - WESTMORE RD,22810,2017-09-27
8446,MIRAMESABL028017,MIRA MESA BL,GREENFORD DR - WESTMORE RD,50322,2017-09-27
8493,MIRAMESABL031017,MIRA MESA BL,VISTA SORRENTO PY - SCRANTON RD,58919,2017-09-27
9726,OLDCARMELVYRD029517,OLD CARMEL VY RD,GAMAY WY - DEL MAR HTS RD,4872,2017-09-27
1391,ACTIVITYRD029917,ACTIVITY RD,PADGETT ST - BLACK MTN RD,15253,2017-09-28
8976,MOREHOUSEDR030217,MOREHOUSE DR,SCRANTON RD - LUSK BL ,10228,2017-09-28
3099,CAMINOSANTAFE030617,CAMINO SANTA FE ,CARROLL RD - TRADE ST,20605,2017-09-28
2771,CALLECRISTOBALCRISTOBAL030917,CALLE CRISTOBAL CRISTOBAL,AVENIDA GATO PL - LORIRAE PL,11351,2017-09-28
2775,CALLECRISTOBALCRISTOBAL030817,CALLE CRISTOBAL CRISTOBAL,CAMINO SANTA FE  - CAMINITO PROPICO ,14042,2017-09-28
12516,TOWNSGATEDR031517,TOWNSGATE DR,EL CAMINO REAL PL - PELL (PVT) PL,4627,2017-09-28
5422,FLANDERSDR030417,FLANDERS DR,FLANDERS CT - CAMINO SANTA FE CT,8430,2017-09-28
3515,CARROLLRD030517,CARROLL RD,REHCO RD - CRESTMAR PT,12238,2017-09-28
3111,CAMINOSANTAFE030717,CAMINO SANTA FE ,MAYCREST LN - SORRENTO VALLEY BL,9759,2017-09-28
7157,KENAMARDR030117,KENAMAR DR,CARROLL RD - KENAMAR CT,3990,2017-09-28
2738,CABOTDR034717,CABOT DR,MIRAMAR  RD - ARJONS DR,5575,2017-10-17
2443,BLACKMTNRD033117,BLACK MTN RD,PARK VILLAGE RD - PIMPERNEL DR,35609,2017-10-18
3690,CHARMANTDR033817,CHARMANT DR,CAMINITO VALERIANO DR - LEBON DR,2812,2017-10-18
8430,MIRAMESABL032317,MIRA MESA BL,CAMINO RUIZ RD (E) - REAGAN RD (E),54112,2017-10-18
4989,ENGINEERRD033717,ENGINEER RD,RUFFNER ST - CONVOY ST,2831,2017-10-18
6981,JOHNJHOPKINSDR033317,JOHN J HOPKINS DR,GENESEE AV - J HOPKINS CT,7862,2017-10-18
11200,ROSELLEST032717,ROSELLE ST,SORRENTO VY BL - SD 005 R-B BL,15086,2017-10-18
1485,AERODR033517,AERO DR,RUFFIN RD - MURPHY CYN RD,29145,2017-10-18
7127,KEARNYVILLARD033417,KEARNY VILLA RD,SD 052  - SD 163 ,18907,2017-10-18
1387,ACTIVITYRD033017,ACTIVITY RD,CAMINO RUIZ DR - CLAYTON DR,11905,2017-10-18
6401,HICKMANFIELDDR033917,HICKMAN FIELD DR,CONVOY CT - COPLEY DR,4547,2017-10-18
3497,CARROLLCANYONRD032917,CARROLL CANYON RD,YOUNGSTOWN WY - NANCY RIDGE RD,13216,2017-10-18
13053,VIADELAVALLEVALLE032817,VIA DE LA VALLE VALLE,JIMMY DURANTE  BL - SD 005 BL,39365,2017-10-18
13055,VIADELAVALLEVALLE032217,VIA DE LA VALLE VALLE,SAN ANDRES DR - SANTA FE DOWNS SQ,21492,2017-10-18
12428,TORREYBLUFFDR032617,TORREY BLUFF DR,MCGUIRE DR - TORREY RIDGE DR,3299,2017-10-18
1503,AERODR033617,AERO DR,W CANYON AV - RUFFIN RD,24903,2017-10-18
11315,SANANDRESDR032417,SAN ANDRES DR,BEGIN  - VIA DE LA VALLE ,320,2017-10-18
8209,MCGUIREDR032117,MCGUIRE DR,CARMEL COUNTRY RD - CARMEL CREEK RD,3514,2017-10-18
4634,DOWDYDR033217,DOWDY DR,MIRAMAR RD - SILVERTON AV,8549,2017-10-18
12529,TRADEST032517,TRADE ST,CARROLL WY - KENAMAR DR,6874,2017-10-18
3408,CARMELVALLEYRD036417,CARMEL VALLEY RD,BLACK MTN RD - VALLE DEL SUR CT,18246,2017-10-24
5335,FAYAV036517,FAY AV,PEARL  ST - KLINE ST,7572,2017-10-25
8307,MERCURYST034817,MERCURY ST,ENGINEER RD - VICKERS ST,10469,2017-10-25
8612,MIRAMARWY034617,MIRAMAR WY,ALTAIR AV - KEARNY VILLA RD,15558,2017-10-25
6368,HEALTHCTRDR034117,HEALTH CTR DR,VISTA HILL AV - FROST ST,11803,2017-10-26
7100,KEARNYVILLARD034017,KEARNY VILLA RD,HARRIS PLANT RD - MIRAMAR WY,26777,2017-10-26
3249,CARDINALRD034217,CARDINAL RD,MOCKINGBIRD DR - CARDINAL CT,11666,2017-10-26
2899,CAMINODELASIESTA034517,CAMINO DE LA SIESTA ,CAMINO DEL RIO N  - CAMINO DE LA REINA ,4886,2017-10-26
9882,OTHELLOAV034317,OTHELLO AV,DELLWOOD ST - CONVOY ST,2468,2017-10-26
2883,CAMINODELAREINA034417,CAMINO DE LA REINA ,CAMINO DEL ESTE WY - QUALCOMM WY,18180,2017-10-26
1495,AERODR034917,AERO DR,SANDROCK RD - RUFFIN RD,19423,2017-11-07
4357,DAGGETST035017,DAGGET ST,CONVOY ST - BRINELL ST,3092,2017-11-07
2169,BERGERAV035617,BERGER AV,FROST ST - MESA COLLEGE DR,7357,2017-11-29
3201,CAPRICORNWY036017,CAPRICORN WY,BLACK MOUNTAIN RD - WESTVIEW PY,4127,2017-11-29
11239,RUFFINRD036317,RUFFIN RD,RUFFIN CT - CLAIREMONT MESA BL,18064,2017-11-29
6190,HAMMONDDR035717,HAMMOND DR,TOSWER ST - EDIWHAR  AV,3400,2017-11-29
8295,MERCURYST035317,MERCURY ST,ARMOUR ST - BALBOA AV,19040,2017-11-29
3742,CHESAPEAKEDR035417,CHESAPEAKE DR,FARNHAM ST - CLAIREMONT MESA BL,4896,2017-11-29
7133,KEARNYVILLARD035817,KEARNY VILLA RD,SD 163 RD - HARRIS PLANT RD,26256,2017-11-29
5641,FROSTST035217,FROST ST,HEALTH CENTER DR - BERGER AV,5030,2017-11-29
10750,RAEJEANAV035917,RAEJEAN AV,MURRAY RIDGE RD - CASEMENT ST,2262,2017-11-29
8603,MIRAMARRD036117,MIRAMAR RD,PRODUCTION AV - DISTRIBUTION AV,41217,2017-11-29
5541,FRIARSRD035517,FRIARS RD,MISSION VILLAGE DR - SD 015 DR,43313,2017-11-29
8563,MIRAMARRD036217,MIRAMAR RD,COMMERCE AV - PRODUCTION AV,46245,2017-11-30
5537,FRIARSRD035117,FRIARS RD,MISSION CENTER RD - GILL VILLAGE WY,41209,2017-11-30
4482,DELMARMESARD036717,DEL MAR MESA RD,AQUAINTAINE CT - ANGOULEME CT,1764,2017-12-14
8754,MISSIONCENTERRD044117,MISSION CENTER RD,SEVAN CT - MURRAY RIDGE RD,11889,2018-01-11
2510,BOUNDARYST038217,BOUNDARY ST,MARKET ST - F ST,2263,2018-01-16
9145,MTETNADR037317,MT ETNA DR,MT DAVIS AV - MT EVEREST BL,3589,2018-01-16
7549,LASFLORESTR038317,LAS FLORES TR,CHURCHWARD ST - TRINIDAD WY,1755,2018-01-17
9777,OLVERAAV037917,OLVERA AV,EUCLID AV - GWEN ST,5576,2018-01-17
4601,DIVISIONST038017,DIVISION ST,40 ST - 41 ST,12355,2018-01-17
1247,61ST039017,61 ST,NANCITA CT - IMPERIAL AV,5241,2018-01-17
6740,IMPERIALAV038817,IMPERIAL AV,WILLIE JAMES JONES AV - 50 ST,26956,2018-01-17
11165,ROSECRANSST037617,ROSECRANS ST,STERNE ST - TENNYSON ST,34368,2018-01-17
9683,OCEANVIEWBL037817,OCEAN VIEW BL,35 ST - 36 ST,14205,2018-01-17
977,40ST038117,40 ST,FRANKLIN AV (S) - FRANKLIN AV (N),5111,2018-01-17
4613,DIVISIONST039117,DIVISION ST,PARADISE RD - 58 ST,10890,2018-01-17
1235,60ST038917,60 ST,KENWOOD ST - BROOKLYN AV,3260,2018-01-17
9693,OCEANVIEWBL037717,OCEAN VIEW BL,ELIZABETH ST - 45 ST,6083,2018-01-17
6482,HILLTOPDR038717,HILLTOP DR,45 ST - 46 ST,5103,2018-01-18
8087,MARKETST038417,MARKET ST,45 ST - COTTON ST,20730,2018-01-18
5077,EUCLIDAV038517,EUCLID AV,NARANJA ST - MARKET ST,22332,2018-01-18
6490,HILLTOPDR038617,HILLTOP DR,TOYNE ST - 44 ST,3389,2018-01-18
9846,OTAYMESARD036817,OTAY MESA RD,CALIENTE AV - CORPORATE CENTER DR,22504,2018-01-23
2287,BEYERBL037117,BEYER BL,CORONADO AV - DEL SOL BL,17686,2018-01-23
10410,PICADORBL037017,PICADOR BL,ARRUZA ST - SD 905 ST,18040,2018-01-23
9851,OTAYMESARD036917,OTAY MESA RD,HARVEST RD - SANYO AV,11880,2018-01-23
10141,PARADISEVALLEYRD039217,PARADISE VALLEY RD,WOODMAN ST - ZEST ST,14969,2018-01-24
10404,PICADORBL037517,PICADOR BL,AREY DR - CAMINITO QUIXOTE S,10920,2018-01-24
9861,OTAYMESARD037417,OTAY MESA RD,LA MEDIA RD - PIPER RANCH RD,21095,2018-01-24
4518,DELSOLBL037217,DEL SOL BL,PICADOR BL - OTONO ST,14639,2018-01-24
6216,HANCOCKST000318,HANCOCK ST,NOELL ST - OLD TOWN AV,2965,2018-01-30
5502,FORWARDST000118,FORWARD ST,LA JOLLA BL - LINDA ROSA (E) AV,2792,2018-01-30
8115,MARKETST000218,MARKET ST,I 805 NB OFF RAMP AV - EUCLID AV,9154,2018-01-30
1297,69ST039617,69 ST,KLAUBER AV - MALLARD ST,4109,2018-02-06
4627,DORIANAST039717,DORIANA ST,ALTA VIEW DR - JAMIE AV,2740,2018-02-06
13630,WOODMANST039917,WOODMAN ST,PARADISE VY RD - PARADISE HILL RD,15193,2018-02-06
12980,VALLEYRD039317,VALLEY RD,REO DR - TONAWANDA DR,11764,2018-02-06
7900,MADERAST039417,MADERA ST,BROADWAY ST - BITTERN ST,3073,2018-02-06
8284,MEADOWBROOKDR040917,MEADOWBROOK DR,SHADYGLADE LN - SKYLINE DR,9794,2018-02-06
10609,POTOMACST039817,POTOMAC ST,ALTA VIEW DR - PARADISE VY RD,5549,2018-02-06
5376,FEDERALBL039517,FEDERAL BL,SD 094 ST - 60 ST,19216,2018-02-06
1084,47ST040317,47 ST,HILLTOP DR - C ST,12343,2018-02-07
11836,SKYLINEDR040717,SKYLINE DR,TUTHER WY - SYCHAR RD,10710,2018-02-07
2547,BRIARWOODRD040217,BRIARWOOD RD,GOODE ST - ALTA VIEW DR,12004,2018-02-07
13607,WOODMANST040117,WOODMAN ST,ALTA VIEW DR - APPIAN DR,21977,2018-02-07
1591,ALTAVIEWDR040417,ALTA VIEW DR,PARKSIDE AV - WOODMAN ST,9613,2018-02-07
2659,BROOKHAVENRD040017,BROOKHAVEN RD,ARROWWOOD DR - MEADOWBROOK DR,2892,2018-02-07
11830,SKYLINEDR040617,SKYLINE DR,OMEARA ST - HENSON ST,11875,2018-02-07
8271,MEADOWBROOKDR041017,MEADOWBROOK DR,BLACKSTONE CT - JAMACHA RD,5166,2018-02-08
10615,POTOMACST041217,POTOMAC ST,CALLE CHANATE WY - HAYWARD WY,5413,2018-02-08
6044,GOVERNORDR041517,GOVERNOR DR,GREENWICH DR - SD 805 DR,20379,2018-02-08
10791,RANCHOHILLSDR040517,RANCHO HILLS DR,REO DR - CALLE GAVIOTA DR,1568,2018-02-08
7138,KELTONRD041417,KELTON RD,BOLLENBACHER ST - KELTON CT,4269,2018-02-08
1850,AVENIDAVISTASVISTAS041117,AVENIDA VISTAS VISTAS,VISTA SANTO TOMAS RD - OTAY VY RD,5383,2018-02-08
7984,MALLARDST041317,MALLARD ST,ORIOLE ST - SWAN ST,7310,2018-02-08
3235,CARDIFFST041617,CARDIFF ST,WADE ST - JAMACHA RD,10320,2018-02-13
11291,SAIPANDR041717,SAIPAN DR,ALLEGHANY ST - POTOMAC ST,2345,2018-02-15
10804,RANCHOPENASQUITOSBL042217,RANCHO PENASQUITOS BL,PASEO MONTRIL  - VIA SUD ,30241,2018-02-20
2468,BLUECYPRESSDR042117,BLUE CYPRESS DR,SPRING CYN RD - MANDRAKE PT,4677,2018-02-20
2439,BLACKMTNRD042417,BLACK MTN RD,OVIEDO ST - LETHBRIDGE WY,14506,2018-02-20
5319,FARMINGDALEST041917,FARMINGDALE ST,SWAN LAKE DR - SCRIPPS RH BL,4543,2018-02-20
2454,BLACKMTNRD042517,BLACK MTN RD,TWIN TRAILS DR - PASEO MONTALBAN DR,13326,2018-02-20
4334,CYPRESSCANYONRD042017,CYPRESS CANYON RD,ALDERHILL TR - SCRIPPS POWAY PY,4208,2018-02-20
